,elo
Scotland,1854.9411592316767
England,2090.0004622478496
Wales,1762.5853793058827
Northern Ireland,1663.3349667360576
United States,1890.522492980024
Canada,1898.6112321998842
Uruguay,1948.1833406492528
Argentina,2168.481966051695
Austria,1899.0446147855118
Hungary,1789.0572296063729
Czechoslovakia,1787.984455100791
Belgium,1952.264954590021
France,2115.5524383805223
Switzerland,1961.82127585633
Guernsey,1747.719692248046
Alderney,1077.3423555718389
Jersey,1802.500110864133
Netherlands,2025.2550571935885
Guyana,1463.8126457908356
Trinidad and Tobago,1516.1535753706173
South Africa,1676.3638381553856
Germany,2036.3247042105604
Sweden,1778.8982801737168
Norway,1975.174549758571
Denmark,1920.0331409224204
Italy,1930.7804636955623
Chile,1779.8592045263845
Russia,1854.7950426914806
Finland,1598.7840552763173
Luxembourg,1478.6997371546424
Catalonia,1704.953926307112
Philippines,1350.3462984138077
China,1570.430888552107
Brazil,2043.2028499555354
Basque Country,1826.5658823649687
Japan,2006.8286800839157
Paraguay,1888.9711165047263
Romania,1696.3830492651482
Greece,1798.930511401653
Yugoslavia,1843.470336631341
Spain,2204.4108586431403
Egypt,1802.5422056819127
Estonia,1443.3386418059008
Suriname,1578.5083181693913
Provence,1474.2124809390962
Costa Rica,1726.117836133775
El Salvador,1481.6661542274212
Guatemala,1626.8127423257274
Portugal,2032.0677040356134
Poland,1791.5069712919178
Brittany,1514.4767948504211
New Zealand,1728.7016975147417
Australia,1903.8341954079199
Latvia,1356.8417089971636
Galicia,1543.743575277532
Central Spain,1493.508287927744
Mexico,1952.2753052386286
Andalusia,1619.4949109112354
Asturias,1516.4683309030702
Lithuania,1351.2521127920818
Turkey,1962.9383688870644
Aruba,1206.8694595701324
Curaçao,1593.3910483706334
Bulgaria,1542.1516675003788
Republic of Ireland,1770.6511326903376
Haiti,1664.1412892343658
Jamaica,1651.2210296323863
Kenya,1461.8076688446004
Uganda,1502.4426218976587
Bolivia,1698.4561620651505
Peru,1749.3583030265547
Honduras,1678.9915923067283
Belarus,1561.371897563837
Ukraine,1796.1521799039374
Barbados,1125.120204382296
Nicaragua,1491.4774093030628
Cuba,1397.5610367142133
Martinique,1464.7512432143915
Dominica,1155.4134821279117
Silesia,1527.9760625309304
Guadeloupe,1521.9210580482684
Israel,1663.3565017402846
Indonesia,1538.4713513586137
French Guiana,1423.1851214792318
Saint Lucia,1218.648544343556
Colombia,2040.654369250097
Panama,1809.1071306713598
Venezuela,1802.8726971896272
Ecuador,1998.344095913131
Saint Kitts and Nevis,1277.4751367389529
Grenada,1288.8776757313033
India,1277.3604910764457
Slovakia,1736.9162705377116
Manchukuo,1435.4060610175236
Croatia,1966.7233178435968
Lebanon,1425.601754429444
Puerto Rico,1370.3761829392088
Afghanistan,1156.496053888576
Iran,1898.5503184496167
Mongolia,1002.9396230929343
Tanzania,1407.2520137384968
Zimbabwe,1443.145751566804
Zambia,1526.3709691285262
Iceland,1615.5776162136563
Albania,1682.309798384806
Montenegro,1525.2090791959627
Madagascar,1500.6442037193938
Mauritius,1227.761984567719
Réunion,1577.2583494288865
Zanzibar,1531.161307495119
Djibouti,1053.5640812678446
Ethiopia,1377.9622740340383
DR Congo,1747.3496017238722
South Korea,1886.1385000155103
Vietnam,1504.0504972161718
Macau,857.0958600889321
Dominican Republic,1483.050187705789
Cyprus,1394.764708803325
Sierra Leone,1436.567330590338
Nigeria,1870.0753299090713
Syria,1562.0432593408848
Serbia,1796.674853722462
Taiwan,1083.4850645327044
Ghana,1627.6472260283174
Myanmar,1150.6296196712226
New Caledonia,1585.482607693689
Vanuatu,1437.610045272876
Fiji,1401.4672074314396
Pakistan,1107.4739784989831
Sri Lanka,1024.2104703551975
German DR,1704.8732239458673
Tahiti,1507.7992250537475
Gambia,1506.8512530650455
Hong Kong,1343.0405958566694
Singapore,1315.6932836456676
Malaysia,1511.9063440699358
Guinea-Bissau,1352.0042553122482
Saarland,1460.391859179305
Burundi,1364.692103120162
Cameroon,1723.9639259893602
Kernow,1608.608349203504
Cambodia,1112.0221985376022
Thailand,1563.022942847263
Vietnam Republic,1386.2827974806346
Kyrgyzstan,1474.2585721041287
Moldova,1341.672499305373
North Vietnam,1482.3533421075174
Togo,1491.0553082280896
North Korea,1468.7121195361033
Sudan,1438.1495436427074
Malta,1385.8556007075488
Tunisia,1728.4223968551755
Libya,1531.7098902605946
Malawi,1428.6442363034291
Morocco,2011.0995302900083
Benin,1506.8402809365296
Cape Verde,1648.605018235836
Ivory Coast,1822.6056064881745
Burkina Faso,1627.7879585587348
Gabon,1524.4139044104884
Congo,1330.5334355730301
Mali,1687.8225810859758
Central African Republic,1328.4746793586246
Iraq,1738.4660469506198
Saint Vincent and the Grenadines,1335.92200561447
Senegal,1890.3765621867008
Laos,963.1912711905592
Chad,1234.4882450139132
Niger,1464.078744302662
Mauritania,1442.7978902278928
Liberia,1430.2789797146527
Guinea,1540.9073248223997
Algeria,1870.3734434637474
Kuwait,1490.6481840896724
Jordan,1768.4569360598812
Papua New Guinea,1455.570288863032
Solomon Islands,1368.9342839634658
Somalia,1031.2007877904307
Saudi Arabia,1711.6036859823207
Bermuda,1350.351340193397
Palestine,1557.5073328882831
Yemen,1285.2664060375687
Bahrain,1548.1759161912714
Oman,1590.3635871347076
Wallis Islands and Futuna,1289.2669720055999
Corsica,1574.7101796535642
Western Australia,1392.270380725994
